price_usd,discount,q_mbpd,revenue_usd_bn,floor_usd_bn,stability_usd_bn,recovery_usd_bn
70.0,0.05,2.5,60.68125,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,2.75,66.749375,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.05,3.0,72.8175,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,0.25,5.429375,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,0.5,10.85875,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,0.75,16.288125,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,1.0,21.7175,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,1.25,27.146875,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,1.5,32.57625,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,1.75,38.005625,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,2.0,43.435,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,2.25,48.864375,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,2.5,54.29375,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,2.75,59.723125,23.379119565649336,43.44576000000001,79.97677973356122
70.0,0.15,3.0,65.1525,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,0.25,7.801875,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,0.5,15.60375,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,0.75,23.405625,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,1.0,31.2075,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,1.25,39.009375,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,1.5,46.81125,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,1.75,54.613125,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,2.0,62.415,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,2.25,70.216875,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,2.5,78.01875,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,2.75,85.820625,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.05,3.0,93.6225,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,0.25,6.980625,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,0.5,13.96125,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,0.75,20.941875,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,1.0,27.9225,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,1.25,34.903125,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,1.5,41.88375,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,1.75,48.864375,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,2.0,55.845,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,2.25,62.825625,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,2.5,69.80625,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,2.75,76.786875,23.379119565649336,43.44576000000001,79.97677973356122
90.0,0.15,3.0,83.7675,23.379119565649336,43.44576000000001,79.97677973356122
